"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.084684390E-1,3.831507266E-1,9.571290575E-3,9.837491989E0,9.844955293E0
2.108982310E-1,3.879363835E-1,3.349951655E-2,9.835099220E0,9.842804150E0
2.133279700E-1,3.759722710E-1,3.589234129E-2,9.837491989E0,9.844739308E0
2.157577620E-1,3.807578981E-1,2.871387079E-2,9.839884758E0,9.847290648E0
2.181875540E-1,3.735794425E-1,2.392822690E-2,9.844670296E0,9.851784985E0
2.206173450E-1,3.783650696E-1,2.871387079E-2,9.847063065E0,9.854371396E0
2.230471370E-1,3.927220106E-1,3.349951655E-2,9.851848602E0,9.859729899E0
2.254768770E-1,3.999004960E-1,3.349951655E-2,9.842277527E0,9.850455296E0
2.279066680E-1,3.903291821E-1,5.024927482E-2,9.827920914E0,9.835797443E0
2.303364600E-1,3.687937856E-1,5.503492057E-2,9.825528145E0,9.832600929E0
2.327662520E-1,3.664009571E-1,4.785645381E-2,9.827920914E0,9.834864991E0
2.351960430E-1,3.616153300E-1,2.632104978E-2,9.844670296E0,9.851344663E0
2.376258350E-1,3.664009571E-1,9.571290575E-3,9.849455833E0,9.856273205E0
2.400555750E-1,3.687937856E-1,1.674975827E-2,9.847063065E0,9.853980942E0
2.424853660E-1,3.759722710E-1,3.349951655E-2,9.851848602E0,9.859076947E0
2.449151580E-1,3.711866140E-1,1.914258115E-2,9.842277527E0,9.849293013E0
2.473449500E-1,3.807578981E-1,2.632104978E-2,9.842277527E0,9.849674933E0
2.497747410E-1,3.711866140E-1,4.307080805E-2,9.847063065E0,9.854150679E0
2.522044810E-1,3.855435550E-1,4.307080805E-2,9.844670296E0,9.852311006E0
2.546342730E-1,3.927220106E-1,3.349951655E-2,9.844670296E0,9.852557334E0
2.570640640E-1,3.759722710E-1,3.349951655E-2,9.844670296E0,9.851903907E0
2.594938560E-1,3.687937856E-1,5.742774159E-2,9.830313683E0,9.837396703E0
2.619236480E-1,3.616153300E-1,4.785645381E-2,9.844670296E0,9.851425740E0
2.643534390E-1,3.735794425E-1,2.392822690E-2,9.837491989E0,9.844611866E0
2.667831790E-1,3.783650696E-1,3.349951655E-2,9.842277527E0,9.849604523E0
2.692129700E-1,3.831507266E-1,3.110669367E-2,9.832706451E0,9.840217897E0
2.716427620E-1,3.855435550E-1,2.632104978E-2,9.849455833E0,9.857033877E0
2.740725540E-1,3.783650696E-1,2.871387079E-2,9.839884758E0,9.847198417E0
2.765023450E-1,3.759722710E-1,1.674975827E-2,9.837491989E0,9.844688128E0
2.789320850E-1,3.735794425E-1,1.914258115E-2,9.832706451E0,9.839819317E0
2.813618770E-1,3.903291821E-1,2.392822690E-2,9.844670296E0,9.852434352E0
2.837916680E-1,3.879363835E-1,2.392822690E-2,9.851848602E0,9.859512568E0
2.862214600E-1,4.046861231E-1,2.153540403E-2,9.854242325E0,9.862571999E0
2.886512520E-1,3.831507266E-1,4.067798331E-2,9.849455833E0,9.856989368E0
2.910810430E-1,3.831507266E-1,2.632104978E-2,9.842277527E0,9.849767723E0
2.935107830E-1,3.831507266E-1,2.871387079E-2,9.835099220E0,9.842601569E0
2.959405750E-1,3.807578981E-1,2.871387079E-2,9.837491989E0,9.844899680E0
2.983703660E-1,3.927220106E-1,5.024927482E-2,9.830313683E0,9.838283522E0
3.008001580E-1,3.831507266E-1,3.828516230E-2,9.825528145E0,9.833070403E0
3.032299500E-1,3.711866140E-1,2.392822690E-2,9.832706451E0,9.839739235E0
3.056596890E-1,3.831507266E-1,3.349951655E-2,9.823135376E0,9.830661998E0
3.080894810E-1,3.855435550E-1,2.632104978E-2,9.820742607E0,9.828342789E0
3.105192730E-1,3.855435550E-1,2.392822690E-2,9.815657616E0,9.823255612E0
3.129490640E-1,3.951148391E-1,3.349951655E-2,9.808479309E0,9.816491446E0
3.153788560E-1,3.903291821E-1,4.307080805E-2,9.830313683E0,9.838154251E0
3.178086480E-1,3.592225015E-1,3.349951655E-2,9.854242325E0,9.860844529E0
3.202383870E-1,3.759722710E-1,2.632104978E-2,9.839884758E0,9.847100081E0
3.226681790E-1,3.831507266E-1,1.196411345E-2,9.825528145E0,9.833003150E0
3.250979700E-1,3.999004960E-1,1.435693540E-2,9.801301003E0,9.809466238E0
3.275277620E-1,4.022932947E-1,4.546362907E-2,9.779765129E0,9.788141438E0
3.299575540E-1,4.070789516E-1,2.871387079E-2,9.772586823E0,9.781103770E0
3.323872930E-1,3.783650696E-1,2.392822690E-2,9.731908798E0,9.739290608E0
3.348170850E-1,3.568296731E-1,4.067798331E-2,9.748658180E0,9.755271315E0
3.372468770E-1,3.472583890E-1,4.067798331E-2,9.823135376E0,9.829355610E0
3.396766680E-1,3.400799036E-1,3.349951655E-2,9.885348320E0,9.891253104E0
3.421064600E-1,3.520440459E-1,3.110669367E-2,9.899705887E0,9.906012280E0
3.445362520E-1,3.568296731E-1,4.067798331E-2,9.861420631E0,9.867958197E0
3.469659910E-1,3.472583890E-1,1.435693540E-2,9.813264847E0,9.819417573E0
3.493957830E-1,3.616153300E-1,4.067798331E-2,9.810872078E0,9.817618412E0
